ID;media;css;name;color
1;kiosk;color;text_judul;#000000
2;kiosk;color;text_jam;#ffffff
3;kiosk;background-color;background_jam;#009e3b
4;kiosk;color;text_tanggal;#ffffff
5;kiosk;background-color;background_tanggal;#009e3b
6;kiosk;background-color;background_running_text;#000000
7;kiosk;color;text_running_text;#ffffff
8;kiosk;background-color;body;
9;tv;color;text_judul;#000000
10;tv;color;text_jam;#ffffff
11;tv;background-color;background_jam;#009e3b
12;tv;color;text_tanggal;#ffffff
13;tv;background-color;background_tanggal;#009e3b
14;tv;background-color;background_running_text;#000000
15;tv;color;text_running_text;#ffffff
16;tv;background-color;body;
17;tab;color;text_judul;#ffffff
18;tab;color;text_jam;#ffffff
19;tab;background-color;background_jam;#eb102a
20;tab;color;text_tanggal;#ffffff
21;tab;background-color;background_tanggal;#eb102a
22;tab;background-color;background_running_text;#000000
23;tab;color;text_running_text;#ffffff
24;tab;background-color;body;
