media;key;value;id;description
server;database_version;2.0;1;2
server;server_version;V2_3;2;2
server;mqtt_host;10.1.1.27;4;0
server;mqtt_port;1883;5;9999
server;client_ID;3;8;0
server;API_KEY;Zgl~nVkGfoWaKbJSmA1sQp1tGT7J2kP9OEFYpeR~tNcVTtZRLWrkpD44gFhsLPYrM0b3lIVGULKnQDzVBKc6uQ--;9;0
server;server_online;http://antrian.lite-server.com/;10;0
server;assets_mp4;http://antrian.lite-server.com/smart/service/mp4/scan_mp4;11;0
server;assets_mp3;http://antrian.lite-server.com/smart/service/mp3/scan_mp3;12;0
server;assets_images;http://antrian.lite-server.com/smart/service/images/scan_images;13;0
user;extra_interval_per_voice;200;16;1
user;jeda_per_call;-3000;17;1
server;insert_online_url;http://antrian.lite-server.com/smart/service/helper/insert_antrian/;18;0
user;loop_push_to_server;3000;19;0
server;update_online_url;http://antrian.lite-server.com/smart/service/helper/replace_antrian/;20;0
user;waktu_popup_index_kepuasan;30000;21;0
server;mqtt_websocket;9001;22;9001
user;model_display_tv;2;23;1
user;loket_or_layanan;layanan;24;0
user;model_display_kiosk;1;25;1
user;nomor_urut_antrian;layanan;26;
user;jam_buka_senin;6:45;27;
user;jam_tutup_senin;10:00;28;
user;jam_buka_selasa;6:45;29;
user;jam_tutup_selasa;10:00;30;
user;jam_buka_rabu;6:45;31;
user;jam_tutup_rabu;10:00;32;
user;jam_buka_kamis;6:45;33;
user;jam_tutup_kamis;10:00;34;
user;jam_buka_jumat;6:45;35;
user;jam_tutup_jumat;9:30;36;
user;jam_buka_sabtu;6:45;37;
user;jam_tutup_sabtu;9:30;38;
user;jam_buka_minggu;7:00;39;
user;jam_tutup_minggu;23:00;40;
